Name,SRR1140763,SRR1140994,SRR1140995,SRR1142421,SRR1142422,SRR1142423
Smp_122800.1,356.0,439.0,1231.0,4568.0,1936.0,2483.0
Smp_122810.1,75.0,134.0,284.0,1258.0,215.0,396.0
Smp_122820.1,15.0,23.061,61.112,130.395,43.633,67.479
Smp_122840.1,1800.0,3078.0,9912.0,17677.0,7895.0,10160.0
Smp_122890.1,79.0,114.0,323.0,1745.0,261.0,414.0
Smp_122900.1,292.0,453.0,1310.0,3202.0,1223.0,2062.0
Smp_122910.1,539.0,506.0,1880.0,4966.0,1675.0,2495.0
Smp_122920.1,103.0,153.01,573.08,990.275,336.004,475.048
Smp_122930.1,69.0,77.0,334.0,991.0,358.0,446.0
Smp_122940.1,160.0,202.0,782.001,1806.001,662.0,862.444
Smp_122950.1,28.419,40.358,66.947,514.131,105.742,78.925
Smp_122950.2,0.0,0.0,0.0,0.0,0.0,45.238
Smp_122960.1,67.0,49.0,272.0,833.0,251.0,300.0
Smp_122980.1,86.0,201.0,417.0,779.0,549.0,383.0
Smp_123000.1,599.0,481.0,1649.0,7496.0,1236.0,2285.0
Smp_123010.1,8.0,18.0,38.0,103.0,50.0,57.0
Smp_123020.1,21.0,44.0,80.0,220.0,128.0,103.0
Smp_123030.1,31.0,19.0,85.0,438.0,77.0,126.0
Smp_123040.1,142.0,231.0,429.0,1998.0,459.0,764.0
Smp_123050.1,145.0,91.232,774.317,1767.049,403.0,766.218
Smp_123060.1,115.0,83.0,379.0,1620.0,377.0,525.0
Smp_123070.1,68.0,54.0,213.0,818.0,192.0,186.0
Smp_123090.1,0.0,0.0,2.0,0.0,1.0,0.0
Smp_123100.1,417.0,261.0,1055.0,18139.0,701.0,812.0
Smp_123120.1,46.0,34.0,222.0,196.0,99.0,122.0
Smp_123130.1,54.0,61.0,162.0,680.0,187.0,255.0
Smp_123165.1,347.0,662.0,1921.0,4356.0,1733.0,1947.0
Smp_123180.1,312.986,719.134,2301.104,3982.744,2401.566,2912.622
Smp_123190.1,18.0,25.0,43.0,195.0,36.0,70.0
Smp_123200.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_123210.1,45.001,48.135,124.002,757.003,94.046,142.354
Smp_123220.1,0.0,0.0,5.0,2.0,4.0,0.0
Smp_123230.1,22.0,26.0,112.0,110.0,56.0,125.0
Smp_123240.1,16.0,10.0,72.0,218.0,35.0,33.0
Smp_123260.1,286.0,176.0,564.0,3234.0,428.0,754.0
Smp_123270.1,334.006,401.66,1558.251,9141.713,1055.848,1342.292
Smp_123280.1,132.141,115.781,320.032,2843.337,341.24,499.629
Smp_123290.1,738.998,848.908,4092.142,11284.929,3045.62,4551.067
Smp_123300.1,10.0,8.0,36.0,74.984,22.0,49.0
Smp_123320.1,144.0,174.0,594.0,1782.0,490.0,714.0
Smp_123330.1,34.0,28.0,100.0,539.0,98.0,112.0
Smp_123340.1,176.0,210.0,766.0,1414.0,518.0,896.0
Smp_123360.1,35.208,44.451,119.522,515.467,115.921,198.638
Smp_123370.1,10.859,11.385,17.871,273.774,49.266,40.406
Smp_123390.1,59.0,38.0,116.875,953.825,171.0,157.0
Smp_123410.1,75.0,110.0,293.0,831.0,297.0,319.0
Smp_123440.1,46.0,50.0,122.0,539.0,147.0,110.0
Smp_123450.1,148.0,186.0,592.0,1552.0,581.0,550.0
Smp_123460.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_123470.1,1.0,1.0,2.0,8.0,6.0,5.0
Smp_123480.1,22.0,12.0,70.0,394.0,44.0,64.0
Smp_123490.1,68.005,72.0,228.037,1247.808,203.002,312.312
Smp_123500.1,140.0,230.0,433.0,1338.0,579.0,452.0
Smp_123510.1,195.0,226.0,615.0,2064.0,606.0,821.0
Smp_123520.1,73.0,126.0,279.0,692.0,342.0,343.0
Smp_123530.1,46.0,72.0,215.0,532.0,258.0,254.0
Smp_123540.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_123550.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_123570.1,206.0,242.0,805.0,2071.0,573.0,966.0
Smp_123590.1,83.0,124.0,406.0,624.0,351.0,378.0
Smp_123600.1,127.818,163.432,640.979,1952.622,486.982,842.272
Smp_123610.1,329.182,339.091,1030.021,3486.399,1109.018,1535.731
Smp_123620.1,128.0,126.0,605.0,1639.0,537.0,738.0
Smp_123630.1,236.817,269.116,832.487,3402.974,915.783,1181.053
Smp_123640.1,137.0,154.0,386.0,1939.0,610.0,694.0
Smp_123670.1,33.0,53.0,39.849,1076.849,83.0,141.0
Smp_123670.2,0.0,0.0,64.151,196.151,0.0,0.0
Smp_123690.1,138.0,155.0,652.0,1631.0,508.0,681.0
Smp_123710.1,246.0,290.0,943.0,3948.0,1334.0,1649.0
