Name,SRR1140763,SRR1140994,SRR1140995,SRR1142421,SRR1142422,SRR1142423
Smp_334480.1,0.530585,0.0,0.0,0.738022,0.0,0.0
Smp_334480.2,0.0,0.340059,0.333602,0.0,0.365488,0.382027
Smp_334490.1,16.489383,13.264502,14.034691,10.295187,13.770647,14.707321
Smp_334500.1,6.141818,1.630016,2.097758,6.491512,2.60956,2.134997
Smp_334510.1,19.427168,6.767135,7.871064,27.146136,9.440608,13.113771
Smp_334520.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_334530.1,58.899968,34.137361,38.570281,61.36914,50.573185,34.192504
Smp_334540.1,6.801949,3.554228,3.356741,4.033974,2.77576,4.946173
Smp_334550.1,0.0,0.0,0.0,0.0,0.977232,1.032801
Smp_334555.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_334560.1,0.0,0.0,0.0,0.297629,0.0,0.0
Smp_334570.1,0.678276,0.38213,0.285435,0.556673,0.309953,0.427515
Smp_334580.1,1.877197,0.193187,0.57967,2.630706,0.801947,0.429175
Smp_334600.1,1.61328,2.188919,2.158925,2.328752,2.645045,2.711336
Smp_334610.1,4.268681,3.091624,3.946648,2.89203,3.346068,5.051597
Smp_334620.1,4.299259,3.142595,2.118835,5.627102,2.413558,2.827554
Smp_334630.1,1.202691,0.480647,0.799507,1.937736,0.89388,1.139579
Smp_334650.1,0.0,0.0,0.0,0.0,0.0,0.159306
Smp_334660.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_334670.1,9.401251,7.366645,5.85994,15.096707,8.813108,6.805037
Smp_334680.1,3.26086,1.820299,1.228961,1.352477,1.133272,2.270257
Smp_334700.1,1.270906,0.801747,1.201326,1.576941,1.441684,0.962736
Smp_334710.1,1.633656,0.930958,0.663666,4.050368,1.669509,1.219938
Smp_334730.1,1.247247,1.218442,0.81287,3.673517,0.972215,1.542101
Smp_334740.1,0.0,0.849594,0.318792,0.270887,0.346818,0.0
Smp_334740.2,1.269118,0.0,0.77107,0.945325,0.821608,1.433742
Smp_334750.1,15.596566,9.171202,5.916113,17.215475,8.311464,8.576369
Smp_334770.1,11.010377,6.132863,6.079292,14.212629,6.393956,8.065512
Smp_334780.1,0.436764,0.256006,0.225445,1.415042,0.261278,0.377507
Smp_334790.1,0.0,0.0,0.0,0.29564,0.282737,0.0
Smp_334810.1,0.069594,0.0,0.029393,0.194761,0.10219,0.092859
Smp_334820.1,0.0,0.0,0.0,0.285836,0.221477,0.564709
Smp_334830.1,0.0,0.0,0.0,0.13249,0.080613,0.0
Smp_334850.1,7.430113,4.102641,3.057051,5.777147,2.834357,2.053084
Smp_334880.1,4.952257,4.968641,2.648327,8.060879,4.216895,3.895886
Smp_334890.1,15.194004,11.252032,14.055026,24.526531,16.810213,12.708958
Smp_334900.1,1.191686,0.480838,0.769531,1.169608,0.835367,0.676176
Smp_334910.1,1.905899,1.694285,2.047285,1.418181,2.380653,1.766901
Smp_334920.1,0.0,0.0,3.702621,1.585245,0.990105,0.328237
Smp_334920.2,0.0,0.0,0.041385,0.319863,0.054047,0.231356
Smp_334940.1,1.135107,2.77223,2.115783,4.915543,1.131725,1.298519
Smp_334950.1,4.261407,2.254954,1.298384,5.467816,2.655444,1.940928
Smp_334970.1,10.104768,9.400626,4.415426,9.513778,8.167467,6.008184
Smp_334980.1,0.518139,0.614638,0.413908,0.937878,0.413276,0.536385
Smp_334990.1,0.0,0.0,0.0,0.051371,0.127736,0.0
Smp_335010.1,5.289638,4.141211,3.088081,5.279008,5.156253,3.841575
Smp_335010.2,12.287178,5.785974,3.195407,12.412208,3.917229,4.656404
Smp_335020.1,1.686444,5.766239,2.418038,2.028637,2.353988,3.358287
Smp_335040.1,59.224037,38.037715,38.219702,43.46057,53.771521,44.433121
Smp_335050.1,0.931982,0.303486,0.890856,0.448435,1.300888,0.434359
Smp_335080.1,0.0,0.0,0.0,7.001076,0.0,0.0
Smp_335110.1,6.476403,8.410279,2.108636,5.835971,12.899014,11.212611
Smp_335120.1,0.628887,0.307182,0.0,0.252164,0.376208,0.0
Smp_335120.2,0.0,0.0,0.0,0.0,0.0,0.213487
Smp_335120.3,0.0,0.0,0.0,0.0,0.0,0.0
Smp_335130.1,1095.850697,1283.504887,7359.504353,292.05507,3333.152569,898.677082
Smp_335135.1,917.721957,858.704951,5898.778309,263.711924,2619.504048,737.68707
Smp_335140.1,0.368581,0.0,0.0,0.088674,0.367483,0.0
Smp_335150.1,0.311981,0.200349,0.07044,0.588121,0.239636,0.131284
Smp_335170.1,1.786444,0.873148,1.983331,2.49685,0.868708,0.746087
Smp_335180.1,7.431275,9.437549,6.073364,24.672018,1.926375,4.061636
Smp_335190.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_335200.1,1.84661,0.0,0.529537,1.55491,0.368222,0.381415
Smp_335210.1,2.174626,1.770336,4.884861,2.034568,2.384962,3.777603
Smp_335220.1,1.41275,0.0,0.0,0.340344,0.42396,0.360329
Smp_335280.1,4.972209,3.317255,2.090716,10.388802,2.347343,2.570385
Smp_335300.1,53.082009,19.621229,40.111726,79.844701,42.339095,26.076595
Smp_335330.1,0.066335,0.116272,0.063019,0.282261,0.149394,0.125499
Smp_335340.1,23.125684,32.381304,35.699897,30.661684,44.73017,25.377119
Smp_335350.1,137.925321,110.82511,108.210702,148.147162,110.487776,94.334896
Smp_335360.1,0.0,0.0,0.0,0.149274,0.0,0.0
Smp_335370.1,4.289054,2.095,3.27983,7.567026,0.0,0.181723
Smp_335380.1,1.533131,5.242035,0.989197,0.122948,0.152856,0.682051
Smp_335400.1,0.0,0.0,0.0,0.0,0.068041,0.130108
Smp_335410.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_335430.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_335460.1,0.0,0.0,0.070275,0.117938,0.0,0.311494
Smp_335470.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_335480.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_335490.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_335500.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_335510.1,0.0,0.0,0.0,0.0,0.0,0.0
