gene,degree,weighted_degree,mean_log_expression,variance_log_expression,hub_status
Smp_181180.2,8,7.894006269687055,1.3881452576709015,0.9228401754752813,non_hub
Smp_318200.2,8,7.892518881887226,0.8890157929025599,1.064626509064813,non_hub
Smp_347560.1,8,7.8891180876852935,1.1306070455024617,0.7781686115948089,non_hub
Smp_319120.2,8,7.883825182904517,1.3709435681070303,2.5439211477667296,non_hub
Smp_168080.2,8,7.8809778890356545,1.296091970911478,1.0197314625855547,non_hub
Smp_314730.1,8,7.879334264764026,2.159616789217699,0.7782496398476768,non_hub
Smp_327820.1,8,7.875847074862658,1.36037700947809,3.5616874651525623,non_hub
Smp_088420.1,8,7.867441303272841,3.2348830304459844,1.0504426288302318,non_hub
Smp_165050.1,8,7.86440046060062,6.295628912592206,1.253486224990097,non_hub
Smp_000790.1,8,7.860085570032873,3.3282112811919156,0.834356990384452,non_hub
Smp_322760.1,8,7.856909323054397,1.323390200105487,1.1415584469404962,non_hub
Smp_063530.1,8,7.850868572963536,1.292986627990838,1.5967135235089858,non_hub
Smp_323280.1,8,7.823856665180609,2.186579687203941,2.2083400010863126,non_hub
Smp_010550.1,7,6.93892474485747,0.7943137229539412,0.9421751066262342,non_hub
Smp_322350.1,7,6.937212336133456,2.2370131699699844,2.2411356875724726,non_hub
Smp_242860.2,7,6.930171213530619,2.0285066097317133,1.8394820602664723,non_hub
Smp_200770.1,7,6.927028346576145,1.8167488668679188,4.458196918989044,non_hub
Smp_212300.2,7,6.925102861782212,0.7866563750340769,0.8799764664849317,non_hub
Smp_182600.1,7,6.922239077664129,1.952473232834408,5.405524285725917,non_hub
Smp_204040.1,7,6.921960377131432,2.043469742117234,6.61564122706708,non_hub
Smp_104500.2,7,6.910964359285564,2.317274179507414,2.386963630635073,non_hub
Smp_130520.3,7,6.9048392955179745,1.0830730562517885,1.5649734465753793,non_hub
Smp_330270.1,7,6.903286341442338,1.4334339693116842,3.3951438356468557,non_hub
Smp_328360.1,7,6.903228478511415,2.9639081295192655,0.7101058534619523,non_hub
Smp_146150.1,7,6.901141915801035,1.4016436914182215,1.009630678679429,non_hub
Smp_318100.1,7,6.899764968013184,1.236062621337813,1.6522497807829521,non_hub
Smp_152580.1,7,6.893566808733004,0.8134551303584814,0.8932717848987403,non_hub
Smp_150000.1,7,6.893184378894737,2.2664126630851666,0.7081549867137146,non_hub
Smp_133590.2,7,6.890925546636046,1.5597654666890137,2.2171805246902507,non_hub
Smp_316860.1,7,6.889046040408302,2.258066134401191,2.4299593353013806,non_hub
Smp_055090.3,7,6.885948485973763,1.4584821776884966,1.2176139002418898,non_hub
Smp_244890.1,7,6.879896092562473,1.2363674843826464,0.8449396503595207,non_hub
Smp_335110.1,7,6.876340968776046,3.069432400025124,0.9676145846356653,non_hub
Smp_340300.2,7,6.873301978538871,3.872901243591243,0.7457801086254747,non_hub
Smp_344420.1,7,6.869539994104054,0.8954899638756133,0.8057832104139436,non_hub
Smp_326650.1,7,6.86811294577533,3.001926237339755,4.799645802750767,non_hub
Smp_347900.1,7,6.828361076231161,1.341527334073159,0.94439060736293,non_hub
Smp_266830.2,7,6.8217197638829665,1.4131248868149817,1.6487948433738389,non_hub
Smp_164270.2,6,5.954537911176102,1.1727354816046223,1.8602375606634158,non_hub
Smp_214020.2,6,5.939593133635132,0.7454625830444561,0.7767260645906949,non_hub
Smp_028210.2,6,5.936263317591187,0.8035432419890725,0.7013598679472469,non_hub
Smp_348100.1,6,5.932302580920697,5.759717210693752,14.967345533140431,non_hub
Smp_150230.2,6,5.926383389918948,1.9701114873706551,0.9175064683980211,non_hub
Smp_247660.1,6,5.923725050883216,4.320427033241758,8.84057992655008,non_hub
Smp_140200.2,6,5.92112586550782,1.6809186413805541,0.7742532297942563,non_hub
Smp_163570.2,6,5.919055922494968,1.8082239510017029,1.4697187400665772,non_hub
Smp_328910.1,6,5.918821040710994,3.037104176122709,0.7364648362762388,non_hub
Smp_181080.1,6,5.915302195679851,0.8137203823855726,0.9061374310799394,non_hub
Smp_247700.1,6,5.914559665370994,0.9916450061995761,1.6853886737270287,non_hub
Smp_150230.1,6,5.912268696271546,1.445346992574605,1.2822196003059878,non_hub
Smp_334920.1,6,5.907585265821804,0.90895555218544,0.9456687599964525,non_hub
Smp_348910.1,6,5.905721887057741,1.144538656283198,1.8205545410197275,non_hub
Smp_322700.2,6,5.903493150490385,3.089235441637876,4.641928899072716,non_hub
Smp_192010.1,6,5.8987129445902395,0.7195419280426006,1.0744448435670728,non_hub
Smp_017710.1,6,5.896305082192237,2.267657350028229,1.6791758883744086,non_hub
Smp_303350.1,6,5.8884997652552435,2.4580412555557754,2.9532668253746386,non_hub
Smp_020450.1,6,5.8869289315484625,3.3484759843153458,0.7984562521447365,non_hub
Smp_332600.3,6,5.885581693651751,1.030685252992956,1.5408425369186831,non_hub
Smp_343170.2,6,5.862523767026635,2.6157980547253326,1.8236356164025886,non_hub
Smp_074390.1,5,4.9743217554490124,3.1757641760845505,0.8017101075313513,non_hub
Smp_017470.1,5,4.964479308499946,2.837948444743218,1.6988093639029038,non_hub
Smp_246970.2,5,4.951471127793691,0.8170068312364553,0.8974063003507147,non_hub
Smp_204370.1,5,4.948827324874117,2.4425608656372324,7.96385723602367,non_hub
Smp_201530.1,5,4.947173921624362,0.9879767623645328,1.4665726308351683,non_hub
Smp_133590.3,5,4.945702507008776,1.4249064158144247,2.7457322092860994,non_hub
