glay,degree,hub_status,mean_log_expression,gene,selected,shared name,variance_log_expression,weighted_degree,rede,gene_busca,motivo_prioridade
12,11,non_hub,10.789647742658456,Smp_335135.1,False,Smp_335135.1,2.0040488882440184,10.85391374065475,positiva,Smp_335135,top5_por_glay
13,1,non_hub,0.9699298010466918,Smp_051670.1,False,Smp_051670.1,0.8935241592044928,0.998716877746149,positiva,Smp_051670,top5_por_glay
13,1,non_hub,2.518613096978831,Smp_346380.2,False,Smp_346380.2,1.3422014272361764,0.998716877746149,positiva,Smp_346380,top5_por_glay
14,7,non_hub,0.7943137229539412,Smp_010550.1,False,Smp_010550.1,0.9421751066262342,6.93892474485747,positiva,Smp_010550,top5_por_glay
14,7,non_hub,0.7866563750340769,Smp_212300.2,False,Smp_212300.2,0.8799764664849317,6.925102861782212,positiva,Smp_212300,top5_por_glay
14,7,non_hub,1.952473232834408,Smp_182600.1,False,Smp_182600.1,5.405524285725917,6.922239077664129,positiva,Smp_182600,top5_por_glay
14,7,non_hub,2.043469742117234,Smp_204040.1,False,Smp_204040.1,6.61564122706708,6.921960377131432,positiva,Smp_204040,top5_por_glay
14,7,non_hub,1.4334339693116842,Smp_330270.1,False,Smp_330270.1,3.395143835646856,6.903286341442338,positiva,Smp_330270,top5_por_glay
15,13,non_hub,1.0430013526681845,Smp_040710.2,False,Smp_040710.2,1.0135328838189284,12.742774560882026,positiva,Smp_040710,top5_por_glay
15,12,non_hub,1.0649804995567678,Smp_309730.1,False,Smp_309730.1,1.6771556710838214,11.877912263628051,positiva,Smp_309730,top5_por_glay
15,12,non_hub,1.5307597507188098,Smp_341160.2,False,Smp_341160.2,3.397944865559112,11.87608625916116,positiva,Smp_341160,top5_por_glay
15,12,non_hub,2.4432424420291152,Smp_323230.1,False,Smp_323230.1,8.418126881348664,11.861671262197875,positiva,Smp_323230,top5_por_glay
15,12,non_hub,1.0352114845163811,Smp_170910.1,False,Smp_170910.1,1.7209319789144348,11.853960424360732,positiva,Smp_170910,top5_por_glay
17,1,non_hub,0.4920882457650788,Smp_245600.2,False,Smp_245600.2,0.7531085605748866,0.9777669993243636,positiva,Smp_245600,top5_por_glay
17,1,non_hub,0.9060917039888262,Smp_319970.1,False,Smp_319970.1,1.7159974942354193,0.9777669993243636,positiva,Smp_319970,top5_por_glay
18,8,non_hub,5.602650119516976,Smp_319930.1,False,Smp_319930.1,14.25152434951182,7.899984884411399,positiva,Smp_319930,top5_por_glay
18,7,non_hub,2.2370131699699844,Smp_322350.1,False,Smp_322350.1,2.2411356875724726,6.937212336133456,positiva,Smp_322350,top5_por_glay
18,7,non_hub,2.0285066097317133,Smp_242860.2,False,Smp_242860.2,1.8394820602664723,6.930171213530619,positiva,Smp_242860,top5_por_glay
18,7,non_hub,2.317274179507414,Smp_104500.2,False,Smp_104500.2,2.386963630635073,6.910964359285564,positiva,Smp_104500,top5_por_glay
18,7,non_hub,3.069432400025124,Smp_335110.1,False,Smp_335110.1,0.9676145846356652,6.876340968776046,positiva,Smp_335110,top5_por_glay
19,3,non_hub,3.7234362104953993,Smp_181730.1,False,Smp_181730.1,6.841724968523863,2.983930039095624,positiva,Smp_181730,top5_por_glay
19,3,non_hub,2.6703542991563745,Smp_121990.2,False,Smp_121990.2,0.9537781861731506,2.983088106088595,positiva,Smp_121990,top5_por_glay
19,3,non_hub,2.2661972192212034,Smp_313630.1,False,Smp_313630.1,1.0021448376291389,2.978530442937749,positiva,Smp_313630,top5_por_glay
19,3,non_hub,2.364167753653915,Smp_317170.1,False,Smp_317170.1,3.1009599861895416,2.9635057730802363,positiva,Smp_317170,top5_por_glay
6,14,hub,1.236062621337813,Smp_318100.1,False,Smp_318100.1,1.652249780782952,13.744316811149975,negativa,Smp_318100,hub;top5_por_glay;top_grau_rede
6,17,hub,1.1514008822226718,Smp_327370.1,False,Smp_327370.1,1.6431234655380222,16.754165300745886,negativa,Smp_327370,hub;top5_por_glay;top_grau_rede
6,17,hub,0.9264215728151068,Smp_032670.1,False,Smp_032670.1,1.0236258168139434,16.749865440724687,negativa,Smp_032670,hub;top5_por_glay;top_grau_rede
6,16,hub,1.1362429633033138,Smp_082410.1,False,Smp_082410.1,0.923066820000324,15.747204275950338,negativa,Smp_082410,hub;top5_por_glay;top_grau_rede
11,13,hub,1.1611025239821269,Smp_332600.2,False,Smp_332600.2,1.0392605662069117,12.710250393955496,negativa,Smp_332600,hub;top5_por_glay;top_grau_rede
5,26,hub,2.059921082965108,Smp_122790.2,False,Smp_122790.2,1.4722776704329477,25.657327727429703,negativa,Smp_122790,hub;top5_por_glay;top_grau_rede
5,24,hub,1.1474090943394777,Smp_335380.1,False,Smp_335380.1,1.101146027239278,23.69175704199705,negativa,Smp_335380,hub;top5_por_glay;top_grau_rede
5,16,hub,3.9450848553732456,Smp_055870.2,False,Smp_055870.2,0.7363535602432628,15.812377698359237,negativa,Smp_055870,hub;top_grau_rede
5,13,hub,0.6437219845810968,Smp_203090.1,False,Smp_203090.1,0.7213707312237806,12.791972831566856,negativa,Smp_203090,hub;top_grau_rede
5,28,hub,2.267657350028229,Smp_017710.1,False,Smp_017710.1,1.6791758883744086,27.618825593062176,negativa,Smp_017710,hub;top5_por_glay;top_grau_rede
6,26,hub,0.8828747632236191,Smp_060620.1,False,Smp_060620.1,1.5550939993732475,25.628526291963503,negativa,Smp_060620,hub;top5_por_glay;top_grau_rede
5,28,hub,2.038421776349284,Smp_302310.2,False,Smp_302310.2,0.8404553233455235,27.67987856436857,negativa,Smp_302310,hub;top5_por_glay;top_grau_rede
5,25,hub,0.4904564920166311,Smp_347540.2,False,Smp_347540.2,0.7197940299901896,24.67645845557082,negativa,Smp_347540,hub;top5_por_glay;top_grau_rede
1,13,hub,0.5842319674132046,Smp_328620.2,False,Smp_328620.2,0.8670852944364337,12.824530710147693,negativa,Smp_328620,hub;top5_por_glay;top_grau_rede
5,14,hub,0.9846581527434723,Smp_323420.1,False,Smp_323420.1,0.8463064646098232,13.749332683191543,negativa,Smp_323420,hub;top_grau_rede
6,12,non_hub,3.872901243591243,Smp_340300.2,False,Smp_340300.2,0.7457801086254747,11.847795246789836,negativa,Smp_340300,top_grau_rede
6,12,non_hub,3.838091938380644,Smp_019690.2,False,Smp_019690.2,1.0998488214958655,11.80569048972908,negativa,Smp_019690,top_grau_rede
