"Gene","Target","OthersMean","Log2FC"
"Smp_007290.1",3.88760140014015,3.80194387236889,0.0856575277712555
"Smp_007300.1",9.40091590442017,8.50903182667511,0.891884077745059
"Smp_007330.1",0.657113130981159,0.612426951247039,0.0446861797341194
"Smp_007380.1",4.0692991661047,3.96289678582663,0.106402380278064
"Smp_007450.1",4.19817909939245,4.98282850796849,-0.784649408576042
"Smp_007450.2",2.44776933942322,0.141932767031402,2.30583657239182
"Smp_007500.1",6.23978680954826,5.70025444424562,0.539532365302633
"Smp_007510.1",5.43987272880133,5.26375036881762,0.176122359983711
"Smp_007540.1",4.96030026677719,4.04940811151173,0.910892155265464
"Smp_007550.1",1.82693688223401,1.7427577566336,0.084179125600405
"Smp_007570.1",0.465053979546412,0.10910851801881,0.355945461527602
"Smp_007630.1",5.79497097617827,5.08916276867552,0.705808207502747
"Smp_007630.2",4.97504875436902,4.49357549535778,0.481473259011247
"Smp_007650.1",5.03582587289935,4.46903415074932,0.566791722150036
"Smp_007660.1",4.74349934971998,4.50823794086025,0.235261408859723
"Smp_007660.2",4.02633194835423,2.17933974811396,1.84699220024027
"Smp_007670.1",1.2848321307228,1.40832387348082,-0.123491742758011
"Smp_007690.1",1.87193588344052,1.89675953464768,-0.0248236512071573
"Smp_007710.1",3.49954666820481,3.36747012124406,0.132076546960751
"Smp_007730.1",6.14772350985513,5.38586221666569,0.761861293189436
"Smp_007760.1",1.64290161783603,1.18832965131244,0.454571966523595
"Smp_007890.1",5.73618347755845,4.54881106677887,1.18737241077957
"Smp_007900.1",9.7482519250643,8.86964813475059,0.878603790313715
"Smp_007960.1",3.01706993207622,3.06214595443952,-0.0450760223633022
"Smp_007960.3",0.547729160770666,0.799701752856211,-0.251972592085546
"Smp_007970.1",5.15442394129784,5.42641151106748,-0.271987569769641
"Smp_008070.1",11.961648227482,11.6220249427685,0.339623284713474
"Smp_008120.1",3.91589037075612,3.30631468734873,0.609575683407386
"Smp_008140.1",2.86980232883805,2.14795312539185,0.721849203446201
"Smp_008220.1",3.15179956892067,2.27924338421167,0.872556184709001
"Smp_008230.1",4.46114550557015,3.02945750586863,1.43168799970152
"Smp_008260.1",5.19176212076676,4.92825320436546,0.263508916401302
"Smp_008290.1",3.51891464626544,2.42663080997275,1.09228383629269
"Smp_008310.1",6.91412449659357,5.68710537637244,1.22701912022113
"Smp_008320.1",6.35811320938426,6.01923749842731,0.338875710956946
"Smp_008360.1",5.71910859257315,5.91552789249811,-0.196419299924967
"Smp_008400.1",1.01742239969532,0.527780434611615,0.489641965083709
"Smp_008430.1",6.65572937028551,5.97450735796203,0.681222012323476
"Smp_008440.1",2.76670752008299,1.72652217529948,1.04018534478352
"Smp_008450.1",0.584011932499379,0.142501100783062,0.441510831716316
