source,target,correlation,abs_correlation,interaction,relation,edge_width
Smp_047870.1,Smp_335380.1,-0.9720683308322571,0.9720683308322571,coexpressao_negativa,negativa,0.9720683308322571
Smp_047870.1,Smp_302310.2,-0.9976756098516264,0.9976756098516264,coexpressao_negativa,negativa,0.9976756098516264
Smp_047870.1,Smp_347540.2,-0.9895054073912668,0.9895054073912668,coexpressao_negativa,negativa,0.9895054073912668
Smp_156910.2,Smp_017710.1,-0.9793212576901884,0.9793212576901884,coexpressao_negativa,negativa,0.9793212576901884
Smp_156910.2,Smp_318100.1,-0.9976845804633317,0.9976845804633317,coexpressao_negativa,negativa,0.9976845804633317
Smp_156910.2,Smp_327370.1,-0.9876291368747475,0.9876291368747475,coexpressao_negativa,negativa,0.9876291368747475
Smp_156910.2,Smp_060620.1,-0.9826360424033114,0.9826360424033114,coexpressao_negativa,negativa,0.9826360424033114
Smp_156910.2,Smp_019690.2,-0.9779268411389797,0.9779268411389797,coexpressao_negativa,negativa,0.9779268411389797
Smp_156910.2,Smp_032670.1,-0.9705799896157431,0.9705799896157431,coexpressao_negativa,negativa,0.9705799896157431
Smp_156910.2,Smp_043500.2,-0.9715508774827701,0.9715508774827701,coexpressao_negativa,negativa,0.9715508774827701
Smp_156910.2,Smp_082410.1,-0.9850731595300474,0.9850731595300474,coexpressao_negativa,negativa,0.9850731595300474
Smp_156910.2,Smp_302310.2,-0.9720161881374331,0.9720161881374331,coexpressao_negativa,negativa,0.9720161881374331
Smp_156910.2,Smp_328360.1,-0.9862790283633364,0.9862790283633364,coexpressao_negativa,negativa,0.9862790283633364
Smp_156910.2,Smp_150000.1,-0.9968697295369653,0.9968697295369653,coexpressao_negativa,negativa,0.9968697295369653
Smp_327820.1,Smp_175880.1,-0.9988690139795929,0.9988690139795929,coexpressao_negativa,negativa,0.9988690139795929
Smp_327820.1,Smp_046060.1,-0.9848667979385014,0.9848667979385014,coexpressao_negativa,negativa,0.9848667979385014
Smp_205710.1,Smp_017710.1,-0.9964960789594076,0.9964960789594076,coexpressao_negativa,negativa,0.9964960789594076
Smp_205710.1,Smp_318100.1,-0.9837285218708237,0.9837285218708237,coexpressao_negativa,negativa,0.9837285218708237
Smp_205710.1,Smp_060620.1,-0.9789857230023834,0.9789857230023834,coexpressao_negativa,negativa,0.9789857230023834
Smp_205710.1,Smp_302310.2,-0.9904430327032485,0.9904430327032485,coexpressao_negativa,negativa,0.9904430327032485
Smp_205710.1,Smp_347540.2,-0.9916772261283266,0.9916772261283266,coexpressao_negativa,negativa,0.9916772261283266
Smp_205710.1,Smp_328360.1,-0.972450889189771,0.972450889189771,coexpressao_negativa,negativa,0.972450889189771
Smp_205710.1,Smp_150000.1,-0.9855912839824763,0.9855912839824763,coexpressao_negativa,negativa,0.9855912839824763
Smp_317180.1,Smp_316910.1,-0.9992227912812056,0.9992227912812056,coexpressao_negativa,negativa,0.9992227912812056
Smp_317180.1,Smp_140260.1,-0.991194499926183,0.991194499926183,coexpressao_negativa,negativa,0.991194499926183
Smp_341160.2,Smp_331440.1,-0.9755960581790304,0.9755960581790304,coexpressao_negativa,negativa,0.9755960581790304
