"__glayCluster","degree","hub_status","mean_log_expression","name","selected","shared name","variance_log_expression","weighted_degree"
"1","7","non_hub","1.646525871104413","Smp_058140.3","false","Smp_058140.3","0.7896545292161975","6.867133125157327"
"6","4","non_hub","1.952473232834408","Smp_182600.1","false","Smp_182600.1","5.405524285725917","3.937217255024444"
"6","8","non_hub","2.5778814887431967","Smp_133590.1","false","Smp_133590.1","1.2231409135901241","7.820404264000034"
"6","6","non_hub","6.2385136072425125","Smp_341710.1","false","Smp_341710.1","0.7061215453541562","5.913475330628214"
"5","3","non_hub","3.001926237339755","Smp_326650.1","false","Smp_326650.1","4.799645802750767","2.9594735841380286"
"5","5","non_hub","1.2081402398609582","Smp_307630.1","false","Smp_307630.1","2.3103484979712765","4.902045558183108"
"5","6","non_hub","0.8230583107126596","Smp_022320.2","false","Smp_022320.2","1.0546708000059033","5.866051653500959"
"5","8","non_hub","1.7451571364758005","Smp_314280.1","false","Smp_314280.1","0.8349114284339425","7.858171002081466"
"5","5","non_hub","3.241844614252172","Smp_322700.1","false","Smp_322700.1","4.794368740171649","4.923455068068971"
"1","3","non_hub","3.089235441637876","Smp_322700.2","false","Smp_322700.2","4.641928899072716","2.951916547642038"
"1","11","non_hub","0.6291734173777038","Smp_141010.2","false","Smp_141010.2","0.9198859297331835","10.839018134126746"
"1","13","hub","0.5842319674132046","Smp_328620.2","false","Smp_328620.2","0.8670852944364337","12.824530710147691"
"1","7","non_hub","1.9436637982742435","Smp_058140.1","false","Smp_058140.1","0.8163579672114246","6.901290101420205"
"6","7","non_hub","3.163202554653359","Smp_340300.1","false","Smp_340300.1","4.633215156162232","6.889595658806697"
"6","12","non_hub","1.7320870401460629","Smp_326770.2","false","Smp_326770.2","2.7918098246903313","11.792630712513331"
"6","7","non_hub","3.149569386895288","Smp_302870.1","false","Smp_302870.1","4.61740765145396","6.888739038223449"
"11","4","non_hub","1.8167488668679188","Smp_200770.1","false","Smp_200770.1","4.458196918989044","3.943489148409946"
"11","4","non_hub","0.7999754200067484","Smp_211020.1","false","Smp_211020.1","0.8838754656449281","3.9349066990806305"
"6","6","non_hub","2.9954047935029307","Smp_323360.1","false","Smp_323360.1","4.128957682714255","5.90629089451259"
"6","10","non_hub","2.9639081295192655","Smp_328360.1","false","Smp_328360.1","0.7101058534619523","9.823364119999605"
