source,target,correlation,abs_correlation,relation,interaction,edge_width,edge_sign
Smp_170770.1,Smp_334430.1,0.9878795599491916,0.9878795599491916,positive,positive,0.9878795599491916,positive
Smp_170770.1,Smp_013860.1,0.9672111877701384,0.9672111877701384,positive,positive,0.9672111877701384,positive
Smp_170770.1,Smp_327395.1,-0.9896745955223336,0.9896745955223336,negative,negative,0.9896745955223336,negative
Smp_170770.1,Smp_201730.1,-0.9546833536152572,0.9546833536152572,negative,negative,0.9546833536152572,negative
Smp_170770.1,Smp_343060.1,-0.984128743850363,0.984128743850363,negative,negative,0.984128743850363,negative
Smp_170770.1,Smp_063380.1,0.9549083366829292,0.9549083366829292,positive,positive,0.9549083366829292,positive
Smp_170770.1,Smp_337890.1,0.9828333001180206,0.9828333001180206,positive,positive,0.9828333001180206,positive
Smp_170770.1,Smp_007660.2,0.9995350406038772,0.9995350406038772,positive,positive,0.9995350406038772,positive
Smp_170770.1,Smp_130790.1,0.9551520501081484,0.9551520501081484,positive,positive,0.9551520501081484,positive
Smp_170770.1,Smp_121950.1,0.9719645952296352,0.9719645952296352,positive,positive,0.9719645952296352,positive
Smp_331590.1,Smp_168080.2,0.9895908613999016,0.9895908613999016,positive,positive,0.9895908613999016,positive
Smp_331590.1,Smp_194370.1,0.9735068726425636,0.9735068726425636,positive,positive,0.9735068726425636,positive
Smp_331590.1,Smp_331170.2,0.965295160021747,0.965295160021747,positive,positive,0.965295160021747,positive
Smp_331590.1,Smp_149380.2,0.9863915940672532,0.9863915940672532,positive,positive,0.9863915940672532,positive
Smp_331590.1,Smp_302270.1,0.9681960481294152,0.9681960481294152,positive,positive,0.9681960481294152,positive
Smp_331590.1,Smp_004690.2,0.9736020465410776,0.9736020465410776,positive,positive,0.9736020465410776,positive
Smp_331590.1,Smp_041500.2,0.951802757865701,0.951802757865701,positive,positive,0.951802757865701,positive
Smp_331590.1,Smp_127870.1,0.963759355531422,0.963759355531422,positive,positive,0.963759355531422,positive
Smp_331590.1,Smp_244860.1,0.9783704040181148,0.9783704040181148,positive,positive,0.9783704040181148,positive
Smp_331590.1,Smp_154900.1,-0.9702269218447376,0.9702269218447376,negative,negative,0.9702269218447376,negative
Smp_331590.1,Smp_055870.2,-0.9930072700573443,0.9930072700573443,negative,negative,0.9930072700573443,negative
Smp_331590.1,Smp_029210.2,0.9811457845870136,0.9811457845870136,positive,positive,0.9811457845870136,positive
Smp_331590.1,Smp_203090.1,-0.9988387148935336,0.9988387148935336,negative,negative,0.9988387148935336,negative
Smp_331590.1,Smp_331650.3,-0.9554725807963312,0.9554725807963312,negative,negative,0.9554725807963312,negative
Smp_331590.1,Smp_334430.1,0.9558334372404436,0.9558334372404436,positive,positive,0.9558334372404436,positive
Smp_331590.1,Smp_066970.1,0.9652847603768504,0.9652847603768504,positive,positive,0.9652847603768504,positive
Smp_331590.1,Smp_013860.1,0.9942110069695635,0.9942110069695635,positive,positive,0.9942110069695635,positive
Smp_331590.1,Smp_177100.1,0.975740749664008,0.975740749664008,positive,positive,0.975740749664008,positive
Smp_331590.1,Smp_327395.1,-0.9875571723940052,0.9875571723940052,negative,negative,0.9875571723940052,negative
Smp_331590.1,Smp_145290.1,-0.983125054202613,0.983125054202613,negative,negative,0.983125054202613,negative
Smp_331590.1,Smp_343060.1,-0.9955475063545082,0.9955475063545082,negative,negative,0.9955475063545082,negative
Smp_331590.1,Smp_063380.1,0.99486329435851,0.99486329435851,positive,positive,0.99486329435851,positive
Smp_331590.1,Smp_324080.1,0.9668244151540576,0.9668244151540576,positive,positive,0.9668244151540576,positive
Smp_331590.1,Smp_204390.1,0.965953663046648,0.965953663046648,positive,positive,0.965953663046648,positive
Smp_331590.1,Smp_337890.1,0.9715551232557832,0.9715551232557832,positive,positive,0.9715551232557832,positive
Smp_331590.1,Smp_329700.1,0.9876097027927592,0.9876097027927592,positive,positive,0.9876097027927592,positive
Smp_331590.1,Smp_138290.1,0.9674159471058784,0.9674159471058784,positive,positive,0.9674159471058784,positive
Smp_331590.1,Smp_201330.1,0.9752932797359566,0.9752932797359566,positive,positive,0.9752932797359566,positive
Smp_331590.1,Smp_007660.2,0.9767797772729468,0.9767797772729468,positive,positive,0.9767797772729468,positive
Smp_331590.1,Smp_336870.2,0.9810306110641716,0.9810306110641716,positive,positive,0.9810306110641716,positive
Smp_331590.1,Smp_121950.1,0.9999364796474508,0.9999364796474508,positive,positive,0.9999364796474508,positive
Smp_332600.2,Smp_168080.2,-0.9534537955276374,0.9534537955276374,negative,negative,0.9534537955276374,negative
Smp_332600.2,Smp_040710.2,-0.9982358814491936,0.9982358814491936,negative,negative,0.9982358814491936,negative
Smp_332600.2,Smp_054620.3,0.9732507390295476,0.9732507390295476,positive,positive,0.9732507390295476,positive
