gene,degree,weighted_degree,betweenness,pagerank,mean_log_expression,variance_log_expression,hub_status,degree_rank,weighted_degree_rank,media_simpatrica,media_alopatrica,delta_alopatrica_menos_simpatrica,delta_pareado_geracao_2,delta_pareado_geracao_3,delta_pareado_medio,abs_delta_pareado_medio,direcao_condicao,rotulo
Smp_319290.1,32,31.177416644690204,0.005074607381538,0.0024889307188107,9.221745527498404,1.8962764906309115,non_hub,190,201,9.598992420702963,8.844498634293839,-0.7544937864091246,1.3936957865475748,-2.9026833593658203,-0.7544937864091228,0.7544937864091228,maior_simpatrica_moderada,
Smp_130100.1,32,31.172832635019734,0.0056339295386523,0.0021980909781883,2.691809482920669,0.4783927235966947,non_hub,190,202,2.8852543100985204,2.498364655742818,-0.38688965435570255,-1.5205664903995708,0.7467871816881653,-0.3868896543557028,0.3868896543557028,sem_diferenca_relevante,
Smp_150230.1,32,31.16622667445918,0.0048806378869619,0.0018251532773035,1.445346992574605,1.2822196003059878,non_hub,190,203,1.3017202406280695,1.5889737445211403,0.2872535038930708,1.1558495962117212,-0.5813425884255796,0.2872535038930708,0.2872535038930708,sem_diferenca_relevante,
Smp_154900.1,32,31.093735420053008,0.0074634853765724,0.0017723825618156,1.103304828240736,0.7961872603516312,non_hub,190,204,1.830724530918668,0.3758851255628044,-1.4548394053558635,-1.9131911665315298,-0.9964876441801973,-1.4548394053558635,1.4548394053558635,maior_simpatrica_forte,Smp_154900.1
Smp_112480.1,31,30.443209661059125,0.0015974415231048,0.0021243798465898,0.7117205364964617,0.6755421644158132,non_hub,205,205,0.7191536126109868,0.7042874603819367,-0.014866152229050078,0.0,-0.029732304458100156,-0.014866152229050078,0.014866152229050078,sem_diferenca_relevante,
Smp_164270.2,31,30.43468074010655,0.0020990528320281,0.0020483743227339,1.1727354816046225,1.860237560663416,non_hub,205,206,1.2724091006899563,1.0730618625192885,-0.1993472381706678,-0.3986944763413356,0.0,-0.1993472381706678,0.1993472381706678,sem_diferenca_relevante,
Smp_186780.2,31,30.409836578464983,0.0020327633654195,0.00195752598874,1.9932940599525104,0.600148951402739,non_hub,205,207,2.61791651959566,1.368671600309361,-1.2492449192862989,-1.7027801944545775,-0.7957096441180203,-1.2492449192862989,1.2492449192862989,maior_simpatrica_forte,Smp_186780.2
Smp_204370.1,31,30.388827101081333,0.0017776244726063,0.0021236095597267,2.4425608656372324,7.96385723602367,non_hub,205,208,2.384297048927177,2.5008246823472877,0.11652763342011063,0.0,0.23305526684022126,0.11652763342011063,0.11652763342011063,sem_diferenca_relevante,
Smp_147350.1,31,30.365673276547582,0.0025692195050886,0.0019735855818619,1.527789426290203,0.5105517515695109,non_hub,205,209,2.1120499135303152,0.9435289390500907,-1.1685209744802245,-1.5480573630953582,-0.7889845858650908,-1.1685209744802245,1.1685209744802245,maior_simpatrica_forte,Smp_147350.1
Smp_317510.1,31,30.34830296136536,0.0009999212968951,0.0016003713310204,0.8528302134993394,1.1608769146668394,non_hub,205,210,1.7056604269986788,0.0,-1.7056604269986788,-2.241082340899858,-1.1702385130974995,-1.7056604269986788,1.7056604269986788,maior_simpatrica_forte,Smp_317510.1
