"__glayCluster","degree","hub_status","mean_log_expression","name","selected","shared name","variance_log_expression","weighted_degree"
"5","3","non_hub","1.2081402398609582","Smp_307630.1","false","Smp_307630.1","2.3103484979712765","2.969459629900038"
"5","4","non_hub","2.036458694357409","Smp_084180.1","false","Smp_084180.1","5.7536074082622575","3.922048341981096"
"16","21","non_hub","5.117179755781546","Smp_019690.1","false","Smp_019690.1","0.8796448685226177","20.704231684571027"
"16","30","hub","1.5642269384392768","Smp_012350.1","false","Smp_012350.1","1.1089695298377824","29.641295609474785"
"16","27","hub","1.5605287290254428","Smp_320400.1","false","Smp_320400.1","1.1336540350731448","26.60897732341666"
"16","30","hub","1.594010015877928","Smp_336310.2","false","Smp_336310.2","1.1368962720555846","29.652179371942637"
"16","32","hub","2.219415759943121","Smp_341200.2","false","Smp_341200.2","1.183640891253307","31.584916694805656"
"16","26","hub","2.2209861017135095","Smp_133860.1","false","Smp_133860.1","1.220810956247516","25.666081030030657"
"16","26","hub","1.8910116526136642","Smp_105180.2","false","Smp_105180.2","1.5974316608386234","25.627231463623453"
"16","25","non_hub","2.0341557758107154","Smp_022320.3","false","Smp_022320.3","1.8399417696037104","24.72177275322792"
"16","29","hub","2.368756531406394","Smp_246790.1","false","Smp_246790.1","2.5090717354917116","28.689008840395925"
"16","25","non_hub","2.362651557493697","Smp_348840.2","false","Smp_348840.2","2.5493656687556356","24.659136182488126"
"16","19","non_hub","2.804467907202899","Smp_205710.1","false","Smp_205710.1","3.5408691238280756","18.717609204305607"
"16","29","hub","2.9298889539155075","Smp_047870.1","false","Smp_047870.1","3.843212004066856","28.69339040810334"
"16","26","hub","2.943146983105005","Smp_340430.1","false","Smp_340430.1","3.8974631304856477","25.650786450567466"
"16","21","non_hub","3.149569386895288","Smp_302870.1","false","Smp_302870.1","4.61740765145396","20.685431110099135"
"16","21","non_hub","3.163202554653359","Smp_340300.1","false","Smp_340300.1","4.633215156162232","20.703046153688156"
"16","27","hub","3.83786800689414","Smp_134410.1","false","Smp_134410.1","6.592200215093551","26.68537188072142"
"14","6","non_hub","0.7454625830444561","Smp_214020.2","false","Smp_214020.2","0.7767260645906949","5.939593133635132"
"14","7","non_hub","0.7866563750340769","Smp_212300.2","false","Smp_212300.2","0.8799764664849317","6.925102861782212"
"14","7","non_hub","0.7943137229539412","Smp_010550.1","false","Smp_010550.1","0.9421751066262342","6.93892474485747"
"14","3","non_hub","0.7522975586862775","Smp_328440.1","false","Smp_328440.1","1.1750907488705107","2.944608990566995"
"14","6","non_hub","0.9916450061995761","Smp_247700.1","false","Smp_247700.1","1.6853886737270287","5.914559665370994"
"14","7","non_hub","1.4334339693116842","Smp_330270.1","false","Smp_330270.1","3.3951438356468557","6.903286341442338"
"14","7","non_hub","1.952473232834408","Smp_182600.1","false","Smp_182600.1","5.405524285725917","6.922239077664129"
"14","7","non_hub","2.043469742117234","Smp_204040.1","false","Smp_204040.1","6.61564122706708","6.921960377131432"
"16","22","non_hub","1.2371829809469344","Smp_029210.2","false","Smp_029210.2","0.7214225319292861","21.691668086084565"
"16","18","non_hub","1.5125559021716615","Smp_244860.1","false","Smp_244860.1","0.8025176710546716","17.770600937297758"
"16","15","non_hub","1.194362711339164","Smp_127870.1","false","Smp_127870.1","0.8029350494179024","14.806789235264938"
"16","26","hub","4.424188576886111","Smp_041500.2","false","Smp_041500.2","0.9098294533142041","25.656835195092892"
"16","28","hub","4.988610451751297","Smp_004690.2","false","Smp_004690.2","0.9164137248987236","27.598731335220734"
"16","27","hub","4.825060156081327","Smp_302270.1","false","Smp_302270.1","0.9296788922646332","26.656641736526492"
"16","30","hub","1.426396834403835","Smp_149380.2","false","Smp_149380.2","0.9693012604950978","29.562008502505677"
"16","26","hub","1.4661828703806288","Smp_331170.2","false","Smp_331170.2","0.9776086264600666","25.686265698136452"
"16","21","non_hub","1.3912845400890559","Smp_194370.1","false","Smp_194370.1","1.008284374098478","20.69096194633307"
"15","8","non_hub","1.296091970911478","Smp_168080.2","false","Smp_168080.2","1.0197314625855547","7.8809778890356545"
"16","14","non_hub","1.4073764227246846","Smp_331590.1","false","Smp_331590.1","1.0403209297926816","13.74560287078412"
"16","11","non_hub","1.349164495536879","Smp_176260.1","false","Smp_176260.1","1.102319891087235","10.808284682163272"
"16","30","hub","1.512737248533854","Smp_210520.2","false","Smp_210520.2","1.1063180075612935","29.545545101117582"
"16","17","non_hub","1.5143762533266847","Smp_005190.3","false","Smp_005190.3","1.1085623114914658","16.712790942475582"
"16","31","hub","1.6310051266214054","Smp_139080.2","false","Smp_139080.2","1.1999155931331145","30.635288385669863"
"16","21","non_hub","1.5136852206745322","Smp_125250.1","false","Smp_125250.1","1.2049525833514598","20.670769879929978"
"16","26","hub","1.6855535868748794","Smp_312610.1","false","Smp_312610.1","1.2955679251913763","25.678324186923003"
"16","19","non_hub","1.6297455017878502","Smp_165350.1","false","Smp_165350.1","1.3323788908968617","18.775997647547992"
"16","12","non_hub","1.6764233860508","Smp_246050.2","false","Smp_246050.2","1.4515275925892752","11.75109525308397"
"16","15","non_hub","1.6792163047238238","Smp_172510.2","false","Smp_172510.2","1.5398253171404856","14.758618502527854"
