Name,SRR1140994,SRR1140995,SRR1142422,SRR1142423
Smp_011030.1,215.0,759.0,627.0,688.0
Smp_011120.1,188.025,480.029,463.021,505.061
Smp_011150.1,89.0,262.0,164.0,237.0
Smp_011220.1,20.0,50.0,43.0,59.0
Smp_011230.1,56.0,132.0,159.0,159.0
Smp_011270.1,32.966,125.759,56.501,114.309
Smp_011270.2,81.034,265.241,171.499,117.691
Smp_011560.1,607.0,1865.0,1869.0,3199.0
Smp_011570.1,1961.0,6732.0,4561.0,5765.0
Smp_011640.1,182.0,358.0,740.0,687.0
Smp_011660.1,413.211,1385.976,1926.19,2435.249
Smp_011660.2,409.789,1066.201,718.212,1700.056
Smp_011660.3,0.0,23.822,21.599,11.695
Smp_011680.1,14.164,16.325,23.654,19.414
Smp_011680.2,29.845,92.953,98.695,119.588
Smp_011700.1,229.015,491.001,672.969,818.01
Smp_011710.1,273.0,1007.0,848.0,1004.0
Smp_011720.1,80.853,184.854,169.293,225.108
Smp_011830.1,59.0,185.0,156.0,199.0
Smp_011860.1,351.0,1152.0,1078.0,1512.0
Smp_011870.1,5.0,6.0,6.0,2.0
Smp_011960.1,256.0,797.0,839.0,798.0
Smp_011980.1,108.0,356.0,282.0,386.0
Smp_011990.1,13.0,35.0,52.0,43.0
Smp_012000.1,1.0,9.001,0.963,6.0
Smp_012010.1,1659.0,4708.297,4543.042,6683.0
Smp_012030.1,169.0,569.0,570.0,730.0
Smp_012050.1,61.0,135.0,149.0,143.0
Smp_012070.1,134.0,478.0,389.0,492.0
Smp_012110.1,147.0,521.0,340.0,522.0
Smp_012150.1,253.0,1263.0,786.0,1180.0
Smp_012200.1,110.002,293.238,306.126,438.331
Smp_012200.2,0.0,0.0,0.0,16.932
Smp_012280.1,369.0,1520.0,1316.0,1559.0
Smp_012340.1,158.0,606.0,505.0,622.0
Smp_012350.1,0.0,148.911,142.846,171.168
Smp_012350.2,63.0,55.089,16.154,98.832
Smp_012380.1,4.0,13.0,3.0,28.0
Smp_012400.1,25.0,77.0,75.0,105.0
Smp_012410.1,92.0,348.0,230.0,283.0
Smp_012440.1,198.0,821.0,733.0,782.0
Smp_012470.1,559.0,1368.0,1352.0,1446.0
Smp_012480.1,48.0,132.0,202.0,186.0
Smp_012530.1,104.0,497.01,363.198,520.682
Smp_012540.1,55.0,122.0,128.0,161.0
Smp_012570.1,237.254,672.708,570.567,854.361
Smp_012580.1,37.724,48.191,13.859,40.135
Smp_012580.2,144.276,460.809,653.141,780.865
Smp_012670.1,158.0,443.0,484.0,552.0
Smp_012690.1,390.0,1297.0,1354.0,1578.0
Smp_012720.1,1209.625,3066.921,3653.111,4902.079
Smp_012740.1,323.0,1254.0,898.0,1406.0
Smp_012750.1,564.774,1980.269,1164.95,1548.998
Smp_012750.2,153.226,842.731,660.05,492.002
Smp_012780.1,78.0,230.0,332.0,420.0
Smp_012790.1,165.0,536.0,336.0,455.0
Smp_012800.1,45.0,163.0,121.0,139.0
Smp_012810.1,875.0,4134.0,2748.0,4170.0
Smp_012860.1,171.0,561.0,540.0,441.0
Smp_012900.1,410.0,1310.0,1150.0,1412.0
Smp_012920.1,76.0,306.0,218.0,477.0
Smp_012930.1,88.0,252.0,349.0,391.0
Smp_012980.1,343.0,1050.0,1130.0,1277.0
Smp_013040.1,465.39,1062.993,1159.493,1566.569
Smp_013050.1,93.0,241.0,269.0,411.0
Smp_013060.1,66.0,207.008,195.0,269.0
Smp_013070.1,171.0,741.0,780.0,935.0
Smp_013080.1,115.0,742.0,515.0,877.0
Smp_013150.1,43.0,179.0,176.0,210.0
Smp_013200.1,1394.0,5627.0,3171.0,4327.0
Smp_013210.1,0.0,4.146,0.0,5.049
Smp_013300.1,213.0,498.0,454.0,727.0
